Emulsifier;EM_Concentration;Timepoint;Donor;Live_Count;Dead_Count;Ratio;;;;;;;;;;;;;;;
CMC;0,005;0;1;9,42;9,80;0,96;;;;;;;;;;;;;;;
CMC;0,05;0;1;9,51;9,71;0,98;;;;;;;;;;;;;;;
CMC;0,5;0;1;9,39;9,75;0,96;;;;;;;;;;;;;;;
CMC;0;0;1;9,25;9,76;0,95;;;;;;;;;;;;;;;
P80;0,005;0;1;9,33;9,80;0,95;;;;;;;;;;;;;;;
P80;0,05;0;1;9,45;9,76;0,97;;;;;;;;;;;;;;;
P80;0,5;0;1;9,60;9,83;0,98;;;;;;;;;;;;;;;
P80;0;0;1;9,25;9,76;0,95;;;;;;;;;;;;;;;
SoyLec;0,005;0;1;9,27;9,84;0,94;;;;;;;;;;;;;;;
SoyLec;0,05;0;1;9,39;9,76;0,96;;;;;;;;;;;;;;;
SoyLec;0,5;0;1;9,38;9,84;0,95;;;;;;;;;;;;;;;
SoyLec;0;0;1;9,25;9,76;0,95;;;;;;;;;;;;;;;
SL;0,005;0;1;9,29;9,75;0,95;;;;;;;;;;;;;;;
SL;0,05;0;1;9,15;9,83;0,93;;;;;;;;;;;;;;;
SL;0,5;0;1;8,74;9,82;0,89;;;;;;;;;;;;;;;
SL;0;0;1;9,25;9,76;0,95;;;;;;;;;;;;;;;
RL;0,005;0;1;9,26;9,80;0,94;;;;;;;;;;;;;;;
RL;0,05;0;1;8,97;9,86;0,91;;;;;;;;;;;;;;;
RL;0,5;0;1;8,51;9,87;0,86;;;;;;;;;;;;;;;
RL;0;0;1;9,25;9,76;0,95;;;;;;;;;;;;;;;
CMC;0,005;24;1;9,21;9,58;0,96;;;;;;;;;;;;;;;
CMC;0,05;24;1;9,17;9,50;0,97;;;;;;;;;;;;;;;
CMC;0,5;24;1;9,24;9,54;0,97;;;;;;;;;;;;;;;
CMC;0;24;1;9,17;9,55;0,96;;;;;;;;;;;;;;;
P80;0,005;24;1;9,16;9,52;0,96;;;;;;;;;;;;;;;
P80;0,05;24;1;9,09;9,34;0,97;;;;;;;;;;;;;;;
P80;0,5;24;1;9,19;9,55;0,96;;;;;;;;;;;;;;;
P80;0;24;1;9,17;9,55;0,96;;;;;;;;;;;;;;;
SoyLec;0,005;24;1;9,11;9,54;0,96;;;;;;;;;;;;;;;
SoyLec;0,05;24;1;9,15;9,56;0,96;;;;;;;;;;;;;;;
SoyLec;0,5;24;1;9,05;9,55;0,95;;;;;;;;;;;;;;;
SoyLec;0;24;1;9,17;9,55;0,96;;;;;;;;;;;;;;;
SL;0,005;24;1;9,19;9,53;0,96;;;;;;;;;;;;;;;
SL;0,05;24;1;9,13;9,54;0,96;;;;;;;;;;;;;;;
SL;0,5;24;1;8,82;9,36;0,94;;;;;;;;;;;;;;;
SL;0;24;1;9,17;9,55;0,96;;;;;;;;;;;;;;;
RL;0,005;24;1;9,09;9,55;0,95;;;;;;;;;;;;;;;
RL;0,05;24;1;9,09;9,65;0,94;;;;;;;;;;;;;;;
RL;0,5;24;1;8,29;9,43;0,88;;;;;;;;;;;;;;;
RL;0;24;1;9,17;9,55;0,96;;;;;;;;;;;;;;;
CMC;0,005;48;1;9,01;9,73;0,93;;;;;;;;;;;;;;;
CMC;0,05;48;1;8,97;9,56;0,94;;;;;;;;;;;;;;;
CMC;0,5;48;1;9,08;9,72;0,93;;;;;;;;;;;;;;;
CMC;0;48;1;8,99;9,81;0,92;;;;;;;;;;;;;;;
P80;0,005;48;1;9,00;9,78;0,92;;;;;;;;;;;;;;;
P80;0,05;48;1;9,08;9,74;0,93;;;;;;;;;;;;;;;
P80;0,5;48;1;9,05;9,67;0,94;;;;;;;;;;;;;;;
P80;0;48;1;8,99;9,81;0,92;;;;;;;;;;;;;;;
SoyLec;0,005;48;1;8,99;9,76;0,92;;;;;;;;;;;;;;;
SoyLec;0,05;48;1;9,03;9,76;0,93;;;;;;;;;;;;;;;
SoyLec;0,5;48;1;8,95;9,79;0,91;;;;;;;;;;;;;;;
SoyLec;0;48;1;8,99;9,81;0,92;;;;;;;;;;;;;;;
SL;0,005;48;1;8,93;9,64;0,93;;;;;;;;;;;;;;;
SL;0,05;48;1;8,96;9,72;0,92;;;;;;;;;;;;;;;
SL;0,5;48;1;8,91;9,62;0,93;;;;;;;;;;;;;;;
SL;0;48;1;8,99;9,81;0,92;;;;;;;;;;;;;;;
RL;0,005;48;1;8,85;9,86;0,90;;;;;;;;;;;;;;;
RL;0,05;48;1;8,67;9,70;0,89;;;;;;;;;;;;;;;
RL;0,5;48;1;8,39;9,67;0,87;;;;;;;;;;;;;;;
RL;0;48;1;8,99;9,81;0,92;;;;;;;;;;;;;;;
CMC;0,005;0;2;9,76;9,20;1,06;;;;;;;;;;;;;;;
CMC;0,05;0;2;9,77;9,17;1,06;;;;;;;;;;;;;;;
CMC;0,5;0;2;9,76;9,21;1,06;;;;;;;;;;;;;;;
CMC;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
P80;0,005;0;2;9,72;9,11;1,07;;;;;;;;;;;;;;;
P80;0,05;0;2;9,73;9,24;1,05;;;;;;;;;;;;;;;
P80;0,5;0;2;9,66;9,27;1,04;;;;;;;;;;;;;;;
P80;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
SoyLec;0,005;0;2;9,73;9,29;1,05;;;;;;;;;;;;;;;
SoyLec;0,05;0;2;9,71;9,37;1,04;;;;;;;;;;;;;;;
SoyLec;0,5;0;2;9,51;9,59;0,99;;;;;;;;;;;;;;;
SoyLec;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
SL;0,005;0;2;9,73;9,17;1,06;;;;;;;;;;;;;;;
SL;0,05;0;2;9,31;9,57;0,97;;;;;;;;;;;;;;;
SL;0,5;0;2;8,97;9,78;0,92;;;;;;;;;;;;;;;
SL;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
RL;0,005;0;2;9,66;9,38;1,03;;;;;;;;;;;;;;;
RL;0,05;0;2;9,14;9,73;0,94;;;;;;;;;;;;;;;
RL;0,5;0;2;8,77;9,63;0,91;;;;;;;;;;;;;;;
RL;0;0;2;9,69;9,19;1,05;;;;;;;;;;;;;;;
CMC;0,005;0;3;9,71;9,07;1,07;;;;;;;;;;;;;;;
CMC;0,05;0;3;9,76;9,08;1,08;;;;;;;;;;;;;;;
CMC;0,5;0;3;9,75;9,10;1,07;;;;;;;;;;;;;;;
CMC;0;0;3;9,65;9,09;1,06;;;;;;;;;;;;;;;
P80;0,005;0;2;9,72;9,11;1,07;;;;;;;;;;;;;;;
P80;0,05;0;3;9,73;9,24;1,05;;;;;;;;;;;;;;;
P80;0,5;0;3;9,76;9,18;1,06;;;;;;;;;;;;;;;
P80;0;0;3;9,65;9,09;1,06;;;;;;;;;;;;;;;
SoyLec;0,005;0;3;9,65;9,27;1,04;;;;;;;;;;;;;;;
SoyLec;0,05;0;3;9,61;9,44;1,02;;;;;;;;;;;;;;;
SoyLec;0,5;0;3;9,62;9,44;1,02;;;;;;;;;;;;;;;
