"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2"
"CMC-0,005-4-t0-D1.fcs";"CMC-0,005-4-t0-D1.fcs";13049,3333333333;3649,90928133481;2283,22104015943;146,568527772279;52,457387414949;19,127357334048
"CMC-0,005-4-t1-D1.fcs";"CMC-0,005-4-t1-D1.fcs";14586,6666666667;4325,83594012452;2819,36451995483;33,7243729865113;45,5658285192734;19,7641139892237
"CMC-0,005-4-t2-D1.fcs";"CMC-0,005-4-t2-D1.fcs";13395;4093,22437745672;2698,12536645355;128,347185399603;78,5586363934045;42,7245769283963
"CMC-0,05-4-t0-D1.fcs";"CMC-0,05-4-t0-D1.fcs";13001;3928,20324618083;2533,90457942442;114,564392373896;86,5348852480621;43,8559794697593
"CMC-0,05-4-t1-D1.fcs";"CMC-0,05-4-t1-D1.fcs";14016,6666666667;4460,64749869892;3023,86265171843;115,005796955342;40,6577381302523;72,5005412496288
"CMC-0,05-4-t2-D1.fcs";"CMC-0,05-4-t2-D1.fcs";13374;4185,44650337223;2727,88614142135;245,983739299979;56,8507371856145;2,56678614335883
"CMC-0,5-4-t0-D1.fcs";"CMC-0,5-4-t0-D1.fcs";12995,3333333333;3888,29853541415;2478,17535925882;87,5233302230516;37,1274316193406;21,2285608941192
"CMC-0,5-4-t1-D1.fcs";"CMC-0,5-4-t1-D1.fcs";14340,6666666667;4392,07046461415;2843,4228563076;115,00144926623;26,6315793509018;51,3834775462686
"CMC-0,5-4-t2-D1.fcs";"CMC-0,5-4-t2-D1.fcs";14394,3333333333;4327,83649844437;2831,23620874559;38,5918817024168;29,9618876409761;46,5107524022876
"Control-0-4-t0-D1.fcs";"Control-0-4-t0-D1.fcs";13299,3333333333;3593,65787701983;2281,33117313578;105,263162280702;51,771933531966;19,0590311318387
"Control-0-4-t1-D1.fcs";"Control-0-4-t1-D1.fcs";13668,6666666667;4317,56115679725;2785,62803250635;72,0578471322405;56,1743197557359;31,4246140567491
"Control-0-4-t2-D1.fcs";"Control-0-4-t2-D1.fcs";12788;4036,65953575279;2684,4102931232;189,272290629136;48,803824475577;32,5650798216571
"P80-0,005-4-t0-D1.fcs";"P80-0,005-4-t0-D1.fcs";13704,6666666667;3887,44028718104;2422,17229156347;194,510496717615;33,9779639095798;53,5756453676675
"P80-0,005-4-t1-D1.fcs";"P80-0,005-4-t1-D1.fcs";13679,6666666667;4258,6376026527;2746,1069810022;410,799626744394;150,216463022079;106,098649106883
"P80-0,005-4-t2-D1.fcs";"P80-0,005-4-t2-D1.fcs";14391;4305,45056079915;2793,74436570181;208,136974130019;73,0768571008185;62,5774861920851
"P80-0,05-4-t0-D1.fcs";"P80-0,05-4-t0-D1.fcs";12326,3333333333;3978,61562983762;2629,44102229365;159,092216444845;31,5645722133992;35,7966218133918
"P80-0,05-4-t1-D1.fcs";"P80-0,05-4-t1-D1.fcs";14902,3333333333;4714,55015878202;3087,1918677968;81,3469933884058;74,4188990880941;53,347072145402
"P80-0,05-4-t2-D1.fcs";"P80-0,05-4-t2-D1.fcs";14964,6666666667;4726,88888093814;3084,82655358013;154,668462633251;33,9752892385928;45,9089014595487
"P80-0,5-4-t0-D1.fcs";"P80-0,5-4-t0-D1.fcs";12769,3333333333;3714,12378753431;2418,17376325488;143,270141108793;21,2072474369731;22,9196858721808
